Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,100 nF,
C2,0805,1,"6,7uF",
J1_2,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
"J1, J2",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02,
"J2_2, J3",PinHeader_1x05_P2.00mm_Vertical,2,Conn_01x05_Pin,
"LED1, LED2, LED3, LED4, LED5, LED6",LED_6028R,6,MX_SK6812MINI-E,
"R1, R2",0805,2,10K,
R3,0805,1,1k,
R4,0805,1,0,
"SW1_2, SW2, SW3, SW4, SW5, SW6",MX-Solderable-1U,6,SW_Push_45deg,
"SW1, SW7",OS102011MA1QN1_CNK,2,OS102011MA1QN1,
U1_2,SOIC8,1,AS5600,
U1,XIAO-nRF52840-DIP,1,XIAO-nRF52840-DIP,
U3,XIAO-nRF52840-SMD,1,XIAO-nRF52840-SMD,
